player,overs,maidens,runs,wickets,economy,average,sr,opposition,ground,date
MM Patel (INDIA),8,0,39,0,4.87,-0,-0,v New Zealand,Guwahati,28/11/10
YK Pathan (INDIA),2,0,24,0,12,-0,-0,v New Zealand,Guwahati,28/11/10
SK Raina (INDIA),1,0,5,0,5,-0,-0,v New Zealand,Guwahati,28/11/10
S Sreesanth (INDIA),5.2,0,30,3,5.62,10,10.6,v New Zealand,Guwahati,28/11/10
Yuvraj Singh (INDIA),10,0,43,3,4.3,14.33,20,v New Zealand,Guwahati,28/11/10
R Ashwin (INDIA),10,0,52,1,5.2,52,60,v New Zealand,Jaipur,01/12/10
A Nehra (INDIA),9,1,45,0,5,-0,-0,v New Zealand,Jaipur,01/12/10
MM Patel (INDIA),8,0,34,1,4.25,34,48,v New Zealand,Jaipur,01/12/10
YK Pathan (INDIA),4,0,23,1,5.75,23,24,v New Zealand,Jaipur,01/12/10
SK Raina (INDIA),1,0,4,0,4,-0,-0,v New Zealand,Jaipur,01/12/10
S Sreesanth (INDIA),9,1,47,4,5.22,11.75,13.5,v New Zealand,Jaipur,01/12/10
Yuvraj Singh (INDIA),9,1,48,0,5.33,-0,-0,v New Zealand,Jaipur,01/12/10
R Ashwin (INDIA),9,1,49,2,5.44,24.5,27,v New Zealand,Vadodara,04/12/10
RA Jadeja (INDIA),7,0,40,0,5.71,-0,-0,v New Zealand,Vadodara,04/12/10
Z Khan (INDIA),8,2,31,2,3.87,15.5,24,v New Zealand,Vadodara,04/12/10
A Nehra (INDIA),8,1,38,0,4.75,-0,-0,v New Zealand,Vadodara,04/12/10
MM Patel (INDIA),10,0,28,1,2.8,28,60,v New Zealand,Vadodara,04/12/10
YK Pathan (INDIA),8,0,27,2,3.37,13.5,24,v New Zealand,Vadodara,04/12/10
R Ashwin (INDIA),10,0,66,2,6.6,33,30,v New Zealand,Bengaluru,07/12/10
Z Khan (INDIA),8,0,40,0,5,-0,-0,v New Zealand,Bengaluru,07/12/10
P Kumar (INDIA),7,0,42,0,6,-0,-0,v New Zealand,Bengaluru,07/12/10
A Nehra (INDIA),9,1,70,2,7.77,35,27,v New Zealand,Bengaluru,07/12/10
YK Pathan (INDIA),9,0,49,3,5.44,16.33,18,v New Zealand,Bengaluru,07/12/10
RG Sharma (INDIA),4,0,19,0,4.75,-0,-0,v New Zealand,Bengaluru,07/12/10
Yuvraj Singh (INDIA),3,0,21,0,7,-0,-0,v New Zealand,Bengaluru,07/12/10
R Ashwin (INDIA),8,1,24,3,3,8,16,v New Zealand,Chennai,10/12/10
P Kumar (INDIA),6,1,20,1,3.33,20,36,v New Zealand,Chennai,10/12/10
A Nehra (INDIA),5,0,34,2,6.8,17,15,v New Zealand,Chennai,10/12/10
MM Patel (INDIA),3,0,9,0,3,-0,-0,v New Zealand,Chennai,10/12/10
YK Pathan (INDIA),3,0,11,2,3.66,5.5,9,v New Zealand,Chennai,10/12/10
Yuvraj Singh (INDIA),2,0,5,2,2.5,2.5,6,v New Zealand,Chennai,10/12/10
Harbhajan Singh (INDIA),10,0,56,1,5.6,56,60,v South Africa,Durban,12/01/11
Z Khan (INDIA),10,0,44,2,4.4,22,30,v South Africa,Durban,12/01/11
A Nehra (INDIA),6,0,61,1,10.16,61,36,v South Africa,Durban,12/01/11
MM Patel (INDIA),7,1,36,2,5.14,18,21,v South Africa,Durban,12/01/11
SK Raina (INDIA),4,0,21,1,5.25,21,24,v South Africa,Durban,12/01/11
RG Sharma (INDIA),7,0,30,2,4.28,15,21,v South Africa,Durban,12/01/11
Yuvraj Singh (INDIA),6,0,32,0,5.33,-0,-0,v South Africa,Durban,12/01/11
Harbhajan Singh (INDIA),10,0,32,1,3.2,32,60,v South Africa,Johannesburg,15/01/11
Z Khan (INDIA),9,0,37,2,4.11,18.5,27,v South Africa,Johannesburg,15/01/11
A Nehra (INDIA),7,1,44,1,6.28,44,42,v South Africa,Johannesburg,15/01/11
MM Patel (INDIA),8,0,29,4,3.62,7.25,12,v South Africa,Johannesburg,15/01/11
SK Raina (INDIA),6,0,27,0,4.5,-0,-0,v South Africa,Johannesburg,15/01/11
RG Sharma (INDIA),2,0,12,1,6,12,12,v South Africa,Johannesburg,15/01/11
Yuvraj Singh (INDIA),1,0,3,0,3,-0,-0,v South Africa,Johannesburg,15/01/11
DE Bollinger (AUSTRALIA),9,0,57,1,6.33,57,54,v England,Melbourne,16/01/11
XJ Doherty (AUSTRALIA),7,0,40,0,5.71,-0,-0,v England,Melbourne,16/01/11
DJ Hussey (AUSTRALIA),6,0,42,2,7,21,18,v England,Melbourne,16/01/11
MG Johnson (AUSTRALIA),7.4,0,53,2,6.91,26.5,23,v England,Melbourne,16/01/11
B Lee (AUSTRALIA),9,0,43,2,4.77,21.5,27,v England,Melbourne,16/01/11
SPD Smith (AUSTRALIA),3,0,12,2,4,6,9,v England,Melbourne,16/01/11
SR Watson (AUSTRALIA),8,0,44,0,5.5,-0,-0,v England,Melbourne,16/01/11
Harbhajan Singh (INDIA),9,1,23,2,2.55,11.5,27,v South Africa,Cape Town,18/01/11
Z Khan (INDIA),9.2,0,43,3,4.6,14.33,18.6,v South Africa,Cape Town,18/01/11
A Nehra (INDIA),7,0,42,0,6,-0,-0,v South Africa,Cape Town,18/01/11
MM Patel (INDIA),10,1,42,2,4.2,21,30,v South Africa,Cape Town,18/01/11
YK Pathan (INDIA),6,0,27,1,4.5,27,36,v South Africa,Cape Town,18/01/11
SK Raina (INDIA),1,0,8,0,8,-0,-0,v South Africa,Cape Town,18/01/11
RG Sharma (INDIA),1,0,5,0,5,-0,-0,v South Africa,Cape Town,18/01/11
Yuvraj Singh (INDIA),6,0,30,0,5,-0,-0,v South Africa,Cape Town,18/01/11
DE Bollinger (AUSTRALIA),9,0,28,4,3.11,7,13.5,v England,Hobart,21/01/11
MJ Clarke (AUSTRALIA),0.1,0,0,0,0,-0,-0,v England,Hobart,21/01/11
NM Hauritz (AUSTRALIA),8,0,36,0,4.5,-0,-0,v England,Hobart,21/01/11
DJ Hussey (AUSTRALIA),2,0,8,0,4,-0,-0,v England,Hobart,21/01/11
B Lee (AUSTRALIA),9,0,39,2,4.33,19.5,27,v England,Hobart,21/01/11
SPD Smith (AUSTRALIA),2,0,5,1,2.5,5,12,v England,Hobart,21/01/11
SW Tait (AUSTRALIA),5.5,0,30,0,5.14,-0,-0,v England,Hobart,21/01/11
SR Watson (AUSTRALIA),9,0,32,1,3.55,32,54,v England,Hobart,21/01/11
Harbhajan Singh (INDIA),10,0,61,0,6.1,-0,-0,v South Africa,Port Elizabeth,21/01/11
Z Khan (INDIA),9,1,55,0,6.11,-0,-0,v South Africa,Port Elizabeth,21/01/11
A Nehra (INDIA),6,0,27,1,4.5,27,36,v South Africa,Port Elizabeth,21/01/11
MM Patel (INDIA),8,1,49,0,6.12,-0,-0,v South Africa,Port Elizabeth,21/01/11
YK Pathan (INDIA),4,0,18,0,4.5,-0,-0,v South Africa,Port Elizabeth,21/01/11
SK Raina (INDIA),3,0,13,0,4.33,-0,-0,v South Africa,Port Elizabeth,21/01/11
RG Sharma (INDIA),2,0,6,0,3,-0,-0,v South Africa,Port Elizabeth,21/01/11
Yuvraj Singh (INDIA),8,0,34,3,4.25,11.33,16,v South Africa,Port Elizabeth,21/01/11
DE Bollinger (AUSTRALIA),8,0,36,0,4.5,-0,-0,v England,Sydney,23/01/11
XJ Doherty (AUSTRALIA),10,0,37,2,3.7,18.5,30,v England,Sydney,23/01/11
JW Hastings (AUSTRALIA),10,0,51,1,5.1,51,60,v England,Sydney,23/01/11
DJ Hussey (AUSTRALIA),3,0,24,1,8,24,18,v England,Sydney,23/01/11
B Lee (AUSTRALIA),8,0,27,3,3.37,9,16,v England,Sydney,23/01/11
SPD Smith (AUSTRALIA),3,0,19,0,6.33,-0,-0,v England,Sydney,23/01/11
SR Watson (AUSTRALIA),6,0,17,1,2.83,17,36,v England,Sydney,23/01/11
PP Chawla (INDIA),7,0,32,0,4.57,-0,-0,v South Africa,Centurion,23/01/11
Harbhajan Singh (INDIA),8,0,33,0,4.12,-0,-0,v South Africa,Centurion,23/01/11
Z Khan (INDIA),9,1,47,2,5.22,23.5,27,v South Africa,Centurion,23/01/11
MM Patel (INDIA),8,0,50,3,6.25,16.66,16,v South Africa,Centurion,23/01/11
YK Pathan (INDIA),2,0,10,0,5,-0,-0,v South Africa,Centurion,23/01/11
SK Raina (INDIA),2,0,13,0,6.5,-0,-0,v South Africa,Centurion,23/01/11
RG Sharma (INDIA),2,0,14,0,7,-0,-0,v South Africa,Centurion,23/01/11
Yuvraj Singh (INDIA),8,0,45,2,5.62,22.5,24,v South Africa,Centurion,23/01/11
DE Bollinger (AUSTRALIA),9,0,55,0,6.11,-0,-0,v England,Adelaide,26/01/11
XJ Doherty (AUSTRALIA),10,0,44,0,4.4,-0,-0,v England,Adelaide,26/01/11
JW Hastings (AUSTRALIA),7,0,45,0,6.42,-0,-0,v England,Adelaide,26/01/11
DJ Hussey (AUSTRALIA),4,0,21,4,5.25,5.25,6,v England,Adelaide,26/01/11
B Lee (AUSTRALIA),8,0,68,1,8.5,68,48,v England,Adelaide,26/01/11
SPD Smith (AUSTRALIA),7,0,33,3,4.71,11,14,v England,Adelaide,26/01/11
SR Watson (AUSTRALIA),5,0,29,0,5.8,-0,-0,v England,Adelaide,26/01/11
DE Bollinger (AUSTRALIA),9,1,57,2,6.33,28.5,27,v England,Brisbane,30/01/11
JW Hastings (AUSTRALIA),9,0,35,2,3.88,17.5,27,v England,Brisbane,30/01/11
MG Johnson (AUSTRALIA),8,1,29,0,3.62,-0,-0,v England,Brisbane,30/01/11
B Lee (AUSTRALIA),7,0,21,2,3,10.5,21,v England,Brisbane,30/01/11
SPD Smith (AUSTRALIA),8,0,29,1,3.62,29,48,v England,Brisbane,30/01/11
SR Watson (AUSTRALIA),4.3,1,25,3,5.55,8.33,9,v England,Brisbane,30/01/11
MJ Clarke (AUSTRALIA),1,0,7,0,7,-0,-0,v England,Sydney,02/02/11
JW Hastings (AUSTRALIA),7,0,48,0,6.85,-0,-0,v England,Sydney,02/02/11
DJ Hussey (AUSTRALIA),4,0,25,0,6.25,-0,-0,v England,Sydney,02/02/11
MG Johnson (AUSTRALIA),6,0,43,1,7.16,43,36,v England,Sydney,02/02/11
B Lee (AUSTRALIA),9,1,66,1,7.33,66,54,v England,Sydney,02/02/11
SPD Smith (AUSTRALIA),7,0,40,1,5.71,40,42,v England,Sydney,02/02/11
SW Tait (AUSTRALIA),10,0,59,2,5.9,29.5,30,v England,Sydney,02/02/11
SR Watson (AUSTRALIA),6,0,40,1,6.66,40,36,v England,Sydney,02/02/11
DE Bollinger (AUSTRALIA),7,0,45,1,6.42,45,42,v England,Perth,06/02/11
JW Hastings (AUSTRALIA),9,0,39,1,4.33,39,54,v England,Perth,06/02/11
DJ Hussey (AUSTRALIA),4,0,16,0,4,-0,-0,v England,Perth,06/02/11
MG Johnson (AUSTRALIA),7,0,18,3,2.57,6,14,v England,Perth,06/02/11
JJ Krejza (AUSTRALIA),9,0,53,2,5.88,26.5,27,v England,Perth,06/02/11
SW Tait (AUSTRALIA),8,1,48,3,6,16,16,v England,Perth,06/02/11
Harbhajan Singh (INDIA),10,0,41,1,4.1,41,60,v Bangladesh,Dhaka,19/02/11
Z Khan (INDIA),10,0,40,2,4,20,30,v Bangladesh,Dhaka,19/02/11
MM Patel (INDIA),10,0,48,4,4.8,12,15,v Bangladesh,Dhaka,19/02/11
YK Pathan (INDIA),8,0,49,1,6.12,49,48,v Bangladesh,Dhaka,19/02/11
S Sreesanth (INDIA),5,0,53,0,10.6,-0,-0,v Bangladesh,Dhaka,19/02/11
Yuvraj Singh (INDIA),7,0,42,0,6,-0,-0,v Bangladesh,Dhaka,19/02/11
DJ Hussey (AUSTRALIA),4,1,12,1,3,12,24,v Zimbabwe,Ahmedabad,21/02/11
MG Johnson (AUSTRALIA),9.2,2,19,4,2.03,4.75,14,v Zimbabwe,Ahmedabad,21/02/11
JJ Krejza (AUSTRALIA),8,0,28,2,3.5,14,24,v Zimbabwe,Ahmedabad,21/02/11
B Lee (AUSTRALIA),8,1,34,1,4.25,34,48,v Zimbabwe,Ahmedabad,21/02/11
SPD Smith (AUSTRALIA),5,0,24,0,4.8,-0,-0,v Zimbabwe,Ahmedabad,21/02/11
SW Tait (AUSTRALIA),9,1,34,2,3.77,17,27,v Zimbabwe,Ahmedabad,21/02/11
SR Watson (AUSTRALIA),3,0,7,0,2.33,-0,-0,v Zimbabwe,Ahmedabad,21/02/11
MG Johnson (AUSTRALIA),9.1,3,33,4,3.6,8.25,13.7,v New Zealand,Nagpur,25/02/11
JJ Krejza (AUSTRALIA),9,0,47,0,5.22,-0,-0,v New Zealand,Nagpur,25/02/11
B Lee (AUSTRALIA),8,2,29,1,3.62,29,48,v New Zealand,Nagpur,25/02/11
SPD Smith (AUSTRALIA),9,0,44,1,4.88,44,54,v New Zealand,Nagpur,25/02/11
SW Tait (AUSTRALIA),7,0,35,3,5,11.66,14,v New Zealand,Nagpur,25/02/11
SR Watson (AUSTRALIA),3,1,9,1,3,9,18,v New Zealand,Nagpur,25/02/11
PP Chawla (INDIA),10,0,71,2,7.1,35.5,30,v England,Bengaluru,27/02/11
Harbhajan Singh (INDIA),10,0,58,1,5.8,58,60,v England,Bengaluru,27/02/11
Z Khan (INDIA),10,0,64,3,6.4,21.33,20,v England,Bengaluru,27/02/11
MM Patel (INDIA),10,0,70,2,7,35,30,v England,Bengaluru,27/02/11
YK Pathan (INDIA),3,0,21,0,7,-0,-0,v England,Bengaluru,27/02/11
Yuvraj Singh (INDIA),7,0,46,0,6.57,-0,-0,v England,Bengaluru,27/02/11
MG Johnson (AUSTRALIA),4,0,15,0,3.75,-0,-0,v Sri Lanka,Colombo (RPS),05/03/11
JJ Krejza (AUSTRALIA),7.5,0,34,0,4.34,-0,-0,v Sri Lanka,Colombo (RPS),05/03/11
B Lee (AUSTRALIA),5,0,27,1,5.4,27,30,v Sri Lanka,Colombo (RPS),05/03/11
SPD Smith (AUSTRALIA),4,0,17,0,4.25,-0,-0,v Sri Lanka,Colombo (RPS),05/03/11
SW Tait (AUSTRALIA),5,0,23,1,4.6,23,30,v Sri Lanka,Colombo (RPS),05/03/11
SR Watson (AUSTRALIA),7,0,29,0,4.14,-0,-0,v Sri Lanka,Colombo (RPS),05/03/11
PP Chawla (INDIA),8,0,56,0,7,-0,-0,v Ireland,Bengaluru,06/03/11
Harbhajan Singh (INDIA),9,1,29,0,3.22,-0,-0,v Ireland,Bengaluru,06/03/11
Z Khan (INDIA),9,1,30,3,3.33,10,18,v Ireland,Bengaluru,06/03/11
MM Patel (INDIA),4.5,0,25,1,5.17,25,29,v Ireland,Bengaluru,06/03/11
YK Pathan (INDIA),7,1,32,0,4.57,-0,-0,v Ireland,Bengaluru,06/03/11
Yuvraj Singh (INDIA),10,0,31,5,3.1,6.2,12,v Ireland,Bengaluru,06/03/11
PP Chawla (INDIA),10,0,47,2,4.7,23.5,30,v Netherlands,Delhi,09/03/11
Harbhajan Singh (INDIA),10,0,31,0,3.1,-0,-0,v Netherlands,Delhi,09/03/11
Z Khan (INDIA),6.4,0,20,3,3,6.66,13.3,v Netherlands,Delhi,09/03/11
A Nehra (INDIA),5,1,22,1,4.4,22,30,v Netherlands,Delhi,09/03/11
YK Pathan (INDIA),6,1,17,0,2.83,-0,-0,v Netherlands,Delhi,09/03/11
Yuvraj Singh (INDIA),9,1,43,2,4.77,21.5,27,v Netherlands,Delhi,09/03/11
Harbhajan Singh (INDIA),9,0,53,3,5.88,17.66,18,v South Africa,Nagpur,12/03/11
Z Khan (INDIA),10,0,43,1,4.3,43,60,v South Africa,Nagpur,12/03/11
A Nehra (INDIA),8.4,0,65,0,7.5,-0,-0,v South Africa,Nagpur,12/03/11
MM Patel (INDIA),10,0,65,2,6.5,32.5,30,v South Africa,Nagpur,12/03/11
YK Pathan (INDIA),4,0,20,0,5,-0,-0,v South Africa,Nagpur,12/03/11
Yuvraj Singh (INDIA),8,0,47,0,5.87,-0,-0,v South Africa,Nagpur,12/03/11
MJ Clarke (AUSTRALIA),5,0,21,0,4.2,-0,-0,v Kenya,Bengaluru,13/03/11
MG Johnson (AUSTRALIA),8,1,40,0,5,-0,-0,v Kenya,Bengaluru,13/03/11
JJ Krejza (AUSTRALIA),8,0,36,0,4.5,-0,-0,v Kenya,Bengaluru,13/03/11
B Lee (AUSTRALIA),8,1,26,1,3.25,26,48,v Kenya,Bengaluru,13/03/11
SPD Smith (AUSTRALIA),6,0,36,0,6,-0,-0,v Kenya,Bengaluru,13/03/11
SW Tait (AUSTRALIA),8,0,49,2,6.12,24.5,24,v Kenya,Bengaluru,13/03/11
SR Watson (AUSTRALIA),7,0,48,0,6.85,-0,-0,v Kenya,Bengaluru,13/03/11
MG Johnson (AUSTRALIA),10,0,43,1,4.3,43,60,v Canada,Bengaluru,16/03/11
JJ Krejza (AUSTRALIA),10,0,44,2,4.4,22,30,v Canada,Bengaluru,16/03/11
B Lee (AUSTRALIA),8.4,0,46,4,5.3,11.5,13,v Canada,Bengaluru,16/03/11
SPD Smith (AUSTRALIA),3,0,18,0,6,-0,-0,v Canada,Bengaluru,16/03/11
SW Tait (AUSTRALIA),8,1,34,2,4.25,17,24,v Canada,Bengaluru,16/03/11
SR Watson (AUSTRALIA),6,0,22,1,3.66,22,36,v Canada,Bengaluru,16/03/11
MG Johnson (AUSTRALIA),9,1,40,1,4.44,40,54,v Pakistan,Colombo (RPS),19/03/11
JJ Krejza (AUSTRALIA),10,0,44,1,4.4,44,60,v Pakistan,Colombo (RPS),19/03/11
B Lee (AUSTRALIA),8,1,28,4,3.5,7,12,v Pakistan,Colombo (RPS),19/03/11
SW Tait (AUSTRALIA),8,1,37,0,4.62,-0,-0,v Pakistan,Colombo (RPS),19/03/11
SR Watson (AUSTRALIA),6,0,26,0,4.33,-0,-0,v Pakistan,Colombo (RPS),19/03/11
R Ashwin (INDIA),10,0,41,2,4.1,20.5,30,v West Indies,Chennai,20/03/11
Harbhajan Singh (INDIA),9,1,35,1,3.88,35,54,v West Indies,Chennai,20/03/11
Z Khan (INDIA),6,0,26,3,4.33,8.66,12,v West Indies,Chennai,20/03/11
MM Patel (INDIA),5,0,20,0,4,-0,-0,v West Indies,Chennai,20/03/11
YK Pathan (INDIA),7,0,28,0,4,-0,-0,v West Indies,Chennai,20/03/11
SK Raina (INDIA),2,0,12,1,6,12,12,v West Indies,Chennai,20/03/11
Yuvraj Singh (INDIA),4,0,18,2,4.5,9,12,v West Indies,Chennai,20/03/11
R Ashwin (INDIA),10,0,52,2,5.2,26,30,v Australia,Ahmedabad,24/03/11
MJ Clarke (AUSTRALIA),3,0,19,0,6.33,-0,-0,v India,Ahmedabad,24/03/11
Harbhajan Singh (INDIA),10,0,50,0,5,-0,-0,v Australia,Ahmedabad,24/03/11
DJ Hussey (AUSTRALIA),5,0,19,1,3.8,19,30,v India,Ahmedabad,24/03/11
MG Johnson (AUSTRALIA),8,0,41,0,5.12,-0,-0,v India,Ahmedabad,24/03/11
Z Khan (INDIA),10,0,53,2,5.3,26.5,30,v Australia,Ahmedabad,24/03/11
V Kohli (INDIA),1,0,6,0,6,-0,-0,v Australia,Ahmedabad,24/03/11
JJ Krejza (AUSTRALIA),9,0,45,0,5,-0,-0,v India,Ahmedabad,24/03/11
B Lee (AUSTRALIA),8.4,1,45,1,5.19,45,52,v India,Ahmedabad,24/03/11
MM Patel (INDIA),7,0,44,0,6.28,-0,-0,v Australia,Ahmedabad,24/03/11
SW Tait (AUSTRALIA),7,0,52,1,7.42,52,42,v India,Ahmedabad,24/03/11
SR Tendulkar (INDIA),2,0,9,0,4.5,-0,-0,v Australia,Ahmedabad,24/03/11
SR Watson (AUSTRALIA),7,0,37,1,5.28,37,42,v India,Ahmedabad,24/03/11
Yuvraj Singh (INDIA),10,0,44,2,4.4,22,30,v Australia,Ahmedabad,24/03/11
Harbhajan Singh (INDIA),10,0,43,2,4.3,21.5,30,v Pakistan,Mohali,30/03/11
Z Khan (INDIA),9.5,0,58,2,5.89,29,29.5,v Pakistan,Mohali,30/03/11
A Nehra (INDIA),10,0,33,2,3.3,16.5,30,v Pakistan,Mohali,30/03/11
MM Patel (INDIA),10,1,40,2,4,20,30,v Pakistan,Mohali,30/03/11
Yuvraj Singh (INDIA),10,1,57,2,5.7,28.5,30,v Pakistan,Mohali,30/03/11
Harbhajan Singh (INDIA),10,0,50,1,5,50,60,v Sri Lanka,Mumbai,02/04/11
Z Khan (INDIA),10,3,60,2,6,30,30,v Sri Lanka,Mumbai,02/04/11
V Kohli (INDIA),1,0,6,0,6,-0,-0,v Sri Lanka,Mumbai,02/04/11
MM Patel (INDIA),9,0,41,0,4.55,-0,-0,v Sri Lanka,Mumbai,02/04/11
S Sreesanth (INDIA),8,0,52,0,6.5,-0,-0,v Sri Lanka,Mumbai,02/04/11
SR Tendulkar (INDIA),2,0,12,0,6,-0,-0,v Sri Lanka,Mumbai,02/04/11
Yuvraj Singh (INDIA),10,0,49,2,4.9,24.5,30,v Sri Lanka,Mumbai,02/04/11
XJ Doherty (AUSTRALIA),10,1,36,1,3.6,36,60,v Bangladesh,Dhaka,09/04/11
JW Hastings (AUSTRALIA),8,0,31,1,3.87,31,48,v Bangladesh,Dhaka,09/04/11
MG Johnson (AUSTRALIA),8,0,23,1,2.87,23,48,v Bangladesh,Dhaka,09/04/11
B Lee (AUSTRALIA),8,0,36,1,4.5,36,48,v Bangladesh,Dhaka,09/04/11
SPD Smith (AUSTRALIA),7,0,41,1,5.85,41,42,v Bangladesh,Dhaka,09/04/11
SR Watson (AUSTRALIA),8,0,35,0,4.37,-0,-0,v Bangladesh,Dhaka,09/04/11
CL White (AUSTRALIA),1,0,6,0,6,-0,-0,v Bangladesh,Dhaka,09/04/11
XJ Doherty (AUSTRALIA),10,0,44,0,4.4,-0,-0,v Bangladesh,Dhaka,11/04/11
JW Hastings (AUSTRALIA),6,0,20,1,3.33,20,36,v Bangladesh,Dhaka,11/04/11
MG Johnson (AUSTRALIA),10,0,54,3,5.4,18,20,v Bangladesh,Dhaka,11/04/11
B Lee (AUSTRALIA),10,2,37,0,3.7,-0,-0,v Bangladesh,Dhaka,11/04/11
SPD Smith (AUSTRALIA),7,0,34,2,4.85,17,21,v Bangladesh,Dhaka,11/04/11
SR Watson (AUSTRALIA),7,0,35,1,5,35,42,v Bangladesh,Dhaka,11/04/11
MJ Clarke (AUSTRALIA),2,0,13,0,6.5,-0,-0,v Bangladesh,Dhaka,13/04/11
XJ Doherty (AUSTRALIA),6,0,33,0,5.5,-0,-0,v Bangladesh,Dhaka,13/04/11
JW Hastings (AUSTRALIA),9,0,42,0,4.66,-0,-0,v Bangladesh,Dhaka,13/04/11
MG Johnson (AUSTRALIA),9,0,67,3,7.44,22.33,18,v Bangladesh,Dhaka,13/04/11
JL Pattinson (AUSTRALIA),7,0,39,1,5.57,39,42,v Bangladesh,Dhaka,13/04/11
SPD Smith (AUSTRALIA),8,0,45,0,5.62,-0,-0,v Bangladesh,Dhaka,13/04/11
SR Watson (AUSTRALIA),9,0,49,2,5.44,24.5,27,v Bangladesh,Dhaka,13/04/11
Harbhajan Singh (INDIA),10,0,32,3,3.2,10.66,20,v West Indies,Port of Spain,06/06/11
V Kohli (INDIA),3,1,16,0,5.33,-0,-0,v West Indies,Port of Spain,06/06/11
P Kumar (INDIA),10,1,37,2,3.7,18.5,30,v West Indies,Port of Spain,06/06/11
A Mishra (INDIA),10,1,38,0,3.8,-0,-0,v West Indies,Port of Spain,06/06/11
MM Patel (INDIA),9,1,47,2,5.22,23.5,27,v West Indies,Port of Spain,06/06/11
YK Pathan (INDIA),2,0,16,0,8,-0,-0,v West Indies,Port of Spain,06/06/11
SK Raina (INDIA),6,0,23,2,3.83,11.5,18,v West Indies,Port of Spain,06/06/11
Harbhajan Singh (INDIA),10,1,51,0,5.1,-0,-0,v West Indies,Port of Spain,08/06/11
P Kumar (INDIA),10,0,54,0,5.4,-0,-0,v West Indies,Port of Spain,08/06/11
A Mishra (INDIA),10,2,31,4,3.1,7.75,15,v West Indies,Port of Spain,08/06/11
MM Patel (INDIA),10,2,35,3,3.5,11.66,20,v West Indies,Port of Spain,08/06/11
YK Pathan (INDIA),8,0,51,2,6.37,25.5,24,v West Indies,Port of Spain,08/06/11
SK Raina (INDIA),2,0,11,0,5.5,-0,-0,v West Indies,Port of Spain,08/06/11
Harbhajan Singh (INDIA),10,2,24,1,2.4,24,60,v West Indies,North Sound,11/06/11
V Kohli (INDIA),1,0,7,0,7,-0,-0,v West Indies,North Sound,11/06/11
P Kumar (INDIA),10,1,46,0,4.6,-0,-0,v West Indies,North Sound,11/06/11
A Mishra (INDIA),10,2,28,3,2.8,9.33,20,v West Indies,North Sound,11/06/11
MM Patel (INDIA),10,1,60,3,6,20,20,v West Indies,North Sound,11/06/11
YK Pathan (INDIA),5,0,27,0,5.4,-0,-0,v West Indies,North Sound,11/06/11
SK Raina (INDIA),4,0,31,0,7.75,-0,-0,v West Indies,North Sound,11/06/11
R Ashwin (INDIA),10,1,39,1,3.9,39,60,v West Indies,North Sound,13/06/11
P Kumar (INDIA),10,3,37,3,3.7,12.33,20,v West Indies,North Sound,13/06/11
A Mishra (INDIA),10,3,56,2,5.6,28,30,v West Indies,North Sound,13/06/11
YK Pathan (INDIA),6,0,24,0,4,-0,-0,v West Indies,North Sound,13/06/11
I Sharma (INDIA),10,0,60,1,6,60,60,v West Indies,North Sound,13/06/11
MK Tiwary (INDIA),4,0,26,0,6.5,-0,-0,v West Indies,North Sound,13/06/11
R Ashwin (INDIA),10,1,50,0,5,-0,-0,v West Indies,Kingston,16/06/11
V Kohli (INDIA),3,0,13,0,4.33,-0,-0,v West Indies,Kingston,16/06/11
A Mishra (INDIA),10,1,46,2,4.6,23,30,v West Indies,Kingston,16/06/11
YK Pathan (INDIA),1,0,7,0,7,-0,-0,v West Indies,Kingston,16/06/11
SK Raina (INDIA),6,0,35,0,5.83,-0,-0,v West Indies,Kingston,16/06/11
I Sharma (INDIA),9.4,0,49,0,5.06,-0,-0,v West Indies,Kingston,16/06/11
R Vinay Kumar (INDIA),9,2,46,1,5.11,46,54,v West Indies,Kingston,16/06/11
DE Bollinger (AUSTRALIA),7,1,34,1,4.85,34,42,v Sri Lanka,Pallekele,10/08/11
XJ Doherty (AUSTRALIA),10,1,48,1,4.8,48,60,v Sri Lanka,Pallekele,10/08/11
DJ Hussey (AUSTRALIA),2,0,12,1,6,12,12,v Sri Lanka,Pallekele,10/08/11
MG Johnson (AUSTRALIA),10,1,31,6,3.1,5.16,10,v Sri Lanka,Pallekele,10/08/11
B Lee (AUSTRALIA),7.1,0,33,1,4.6,33,43,v Sri Lanka,Pallekele,10/08/11
SPD Smith (AUSTRALIA),3,0,18,0,6,-0,-0,v Sri Lanka,Pallekele,10/08/11
SR Watson (AUSTRALIA),2,0,12,0,6,-0,-0,v Sri Lanka,Pallekele,10/08/11
DE Bollinger (AUSTRALIA),10,2,35,3,3.5,11.66,20,v Sri Lanka,Hambantota,14/08/11
XJ Doherty (AUSTRALIA),10,0,43,1,4.3,43,60,v Sri Lanka,Hambantota,14/08/11
DJ Hussey (AUSTRALIA),5,0,15,1,3,15,30,v Sri Lanka,Hambantota,14/08/11
MG Johnson (AUSTRALIA),9,1,34,2,3.77,17,27,v Sri Lanka,Hambantota,14/08/11
B Lee (AUSTRALIA),10,0,50,2,5,25,30,v Sri Lanka,Hambantota,14/08/11
SR Watson (AUSTRALIA),5.3,0,29,1,5.27,29,33,v Sri Lanka,Hambantota,14/08/11
DE Bollinger (AUSTRALIA),10,0,42,4,4.2,10.5,15,v Sri Lanka,Hambantota,16/08/11
